"Carimbo de data/hora","Você utiliza o estacionamento da UFABC?","Em qual campus você estaciona?","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Manhã]","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Tarde]","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Noite]","Em qual horário de chegada você encontra maior dificuldade em estacionar?","Em média, quanto tempo você aguarda na fila do estacionamento?","Você acha que o seu tempo de espera poderia ser reduzido com alguma melhoria no controle de vagas?","Você se sente seguro estacionando fora da faculdade?","Quais informações sobre o estacionamento da UFABC você gostaria ter em mãos, em um aplicativo?","Adicione sugestões e comentários",""
"2019/07/11 1:36:27 AM GMT-3","Sim","UFABC - Santo André","Segunda","Segunda","Segunda","02:05","Mais de 1 hora","Não","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Informações sobre estacionamentos próximos ao campus","",""
"2019/07/11 2:28:55 AM GMT-3","Sim","UFABC - Santo André","","Segunda;Terça;Quarta;Quinta;Sexta","","16:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus","",""
"2019/07/11 2:55:37 AM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","18:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus","",""
"2019/07/11 3:33:25 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 3:37:58 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 5:56:48 AM GMT-3","Sim","UFABC - Santo André","","","","","Entre 15 e 30 min","Não","","Quantidade de vagas disponíveis em tempo real","",""
"2019/07/11 6:11:10 AM GMT-3","Sim","UFABC - São Bernardo do Campo","","Terça;Quinta","","18:30","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 6:47:52 AM GMT-3","Sim","UFABC - São Bernardo do Campo","","","Segunda;Terça;Quarta;Quinta;Sexta","19:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 6:54:48 AM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","18:30","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real","",""
"2019/07/11 6:58:09 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 7:06:00 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 7:09:17 AM GMT-3","Sim","UFABC - São Bernardo do Campo","","","Segunda;Quarta;Quinta","19:00","Entre 0 e 5 min","Não","Sim","Quantidade de vagas disponíveis em tempo real","",""
"2019/07/11 7:32:56 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 7:41:57 AM GMT-3","Sim","UFABC - Santo André","","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","16:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 7:44:56 AM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Quarta","10:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 7:50:43 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 7:51:07 AM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta","17:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
